count,count,count,ct,1,count
dozen,dozen,dozen,doz,12,count
attometer,attometer,attometers,am,1E-18,length
cable_us,cable,cables,cb,219.4560,length
centimeter,centimeter,centimeters,cm,0.01,length
chain_us,chain,chains,ch,20.11684023368046736093472187,length
decameter,decameter,decameters,dam,1E+1,length
decimeter,decimeter,decimeters,dm,0.1,length
exameter,exameter,exameters,Em,1E+18,length
fathom_us,fathom,fathoms,ftm,1.8288,length
femtometer,femtometer,femtometers,fm,1E-15,length
foot_us,foot,feet,ft,0.3048,length
furlong_us,furlong,furlongs,fur,201.1684023368046736093472187,length
gigameter,gigameter,gigameters,Gm,1E+9,length
hectometer,hectometer,hectometers,hm,1E+2,length
inch_us,inch,inches,in,0.0254,length
kilometer,kilometer,kilometers,km,1E+3,length
league_us,league,leagues,lea,4828.041656083312166624333249,length
link_us,link,links,li,0.2011684023368046736093472187,length
megameter,megameter,megameters,Mm,1E+6,length
meter,meter,meters,m,1,length
micrometer,micrometer,micrometers,μm,0.000001,length
mile_us,mile,miles,mi,1609.3440,length
millimeter,millimeter,millimeters,mm,0.001,length
nanometer,nanometer,nanometers,nm,1E-9,length
nautical_mile_us,nautical mile,nautical miles,nmi,1851.9891840,length
petameter,petameter,petameters,Pm,1E+15,length
pica_us,pica,picas,P/,0.004233333333333333333333333334,length
picometer,picometer,picometers,pm,1E-12,length
point_us,point,points,p,0.0003527777777777777777777777778,length
rod_us,rod,rods,rd,5.029210058420116840233680467,length
survey_foot_us,survey foot,survey feet,ft,0.3048006096012192024384048768,length
survey_mile_us,survey mile,survey miles,mi,1609.347218694437388874777750,length
terameter,terameter,terameters,Tm,1E+12,length
yard_us,yard,yards,yd,0.9144,length
yoctometer,yoctometer,yoctometers,ym,1E-24,length
yottameter,yottameter,yottameters,Ym,1E+24,length
zeptometer,zeptometer,zeptometers,zm,1E-21,length
zettameter,zettameter,zettameters,Zm,1E+21,length
attogram,attogram,attograms,ag,1E-18,mass
centigram,centigram,centigrams,cg,0.01,mass
decagram,decagram,decagrams,dag,1E+1,mass
decigram,decigram,decigrams,dg,0.1,mass
dram_us,dram,drams,dr,3.543690390625,mass
exagram,exagram,exagrams,Eg,1E+18,mass
femtogram,femtogram,femtograms,fg,1E-15,mass
gigagram,gigagram,gigagrams,Gg,1E+9,mass
gram,gram,grams,g,1,mass
hectogram,hectogram,hectograms,hg,1E+2,mass
kilogram,kilogram,kilograms,kg,1E+3,mass
megagram,megagram,megagrams,Mg,1E+6,mass
microgram,microgram,micrograms,μg,0.000001,mass
milligram,milligram,milligrams,mg,0.001,mass
nanogram,nanogram,nanograms,ng,1E-9,mass
ounce_us,ounce,ounces,oz,28.349523125,mass
petagram,petagram,petagrams,Pg,1E+15,mass
picogram,picogram,picograms,pg,1E-12,mass
pound_us,pound,pounds,lb,453.59237,mass
teragram,teragram,teragrams,Tg,1E+12,mass
yoctogram,yoctogram,yoctograms,yg,1E-24,mass
yottagram,yottagram,yottagrams,Yg,1E+24,mass
zeptogram,zeptogram,zeptograms,zg,1E-21,mass
zettagram,zettagram,zettagrams,Zg,1E+21,mass
day,day,days,day,86400,time
hour,hour,hours,hr,3600,time
minute,minute,minutes,min,60,time
second,second,seconds,sec,1,time
week,week,weeks,wk,604800,time
attoliter,attoliter,attoliters,al,1E-18,volume
barrel_us,barrel,barrels,bbl,119.2404711960000000000,volume
centiliter,centiliter,centiliters,cl,0.01,volume
cup_us,cup,cups,c,0.236588236500000000,volume
dash_us,dash,dashes,ds,0.000616115199218750,volume
decaliter,decaliter,decaliters,dal,1E+1,volume
deciliter,deciliter,deciliters,dl,0.1,volume
drop_us,drop,drops,dr,0.00005134293326822916666666666666,volume
exaliter,exaliter,exaliters,El,1E+18,volume
femtoliter,femtoliter,femtoliters,fl,1E-15,volume
fluid_dram_us,fluid dram,fluid drams,fl dr,0.003696691195312500,volume
fluid_ounce_us,fluid ounce,fluid ounces,fl oz,0.029573529562500000,volume
gallon_us,gallon,gallons,gal,3.785411784000000000,volume
gigaliter,gigaliter,gigaliters,Gl,1E+9,volume
gill_us,gill,gills,gil,0.118294118250000000,volume
hectoliter,hectoliter,hectoliters,hl,1E+2,volume
kiloliter,kiloliter,kiloliters,kl,1E+3,volume
liter,liter,liters,l,1,volume
megaliter,megaliter,megaliters,Ml,1E+6,volume
microliter,microliter,microliters,μl,0.000001,volume
milliliter,milliliter,milliliters,ml,0.001,volume
minim_us,minim,minims,min,0.000061611519921875,volume
nanoliter,nanoliter,nanoliters,nl,1E-9,volume
petaliter,petaliter,petaliters,Pl,1E+15,volume
picoliter,picoliter,picoliters,pl,1E-12,volume
pinch_us,pinch,pinches,pn,0.000308057599609375,volume
pint_us,pint,pints,pt,0.473176473000000000,volume
quart_us,quart,quarts,qt,0.946352946000000000,volume
shot_us,shot,shots,jig,0.0443602943437500000,volume
tablespoon_us,tablespoon,tablespoons,Tbsp,0.014786764781250000,volume
teaspoon_us,teaspoon,teaspoons,tsp,0.004928921593750000,volume
teraliter,teraliter,teraliters,Tl,1E+12,volume
yoctoliter,yoctoliter,yoctoliters,yl,1E-24,volume
yottaliter,yottaliter,yottaliters,Yl,1E+24,volume
zeptoliter,zeptoliter,zeptoliters,zl,1E-21,volume
zettaliter,zettaliter,zettaliters,Zl,1E+21,volume
